"question","answer","category","priority_class"
"Как обновить профиль риска?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Как настроить облигации?","Расписание — в **SberUniversity → События → Инвестиции**. Все вебинары записываются и доступны в течение 30 дней.","HR","well_known_question"
"Как обновить маржинальная торговля?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Как настроить Power BI?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Как проверить статус ИИС?","В Confluence → СберИнвестиции → Compliance → Cold_Call_Policy_2025.","Compliance","well_known_question"
"Почему не загружается Confluence?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Как проверить статус ИнвестПро?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Как настроить биржевые фонды?","Черновики хранятся 30 дней в «Корзине предложений». Восстановите через CRM → «Мои черновики» → «Архив».","Документы","well_known_question"
"Как настроить валютные инструменты?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Как обновить Power BI?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Почему биржевые фонды не отображается в облигации?","Маржинальная торговля требует отдельного согласия клиента и прохождения теста. Проверьте статус в CRM → «Услуги клиента».","Торговля","well_known_question"
"Как настроить деривативы?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Где найти информацию по опционы?","1. Откройте карточку клиента в CRM. 2. Нажмите «Создать коммерческое предложение». 3. Выберите продукт «ИИС тип А». 4. Нажмите «Отправить в Финмаркет».","Документы","well_known_question"
"Как обновить Финмаркет?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Почему в биржевые фонды ошибка?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Почему в CRM ошибка?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Где найти информацию по робо-советник?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Почему не загружается маржинальная торговля?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Что делать, если не работает SharePoint?","В SharePoint → СберИнвестиции → Шаблоны → VIP_Onboarding_2025.docx.","HR","well_known_question"
"Где найти информацию по налоговый вычет?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Где найти информацию по SharePoint?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Как настроить SberOTP?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Почему в ИнвестПро ошибка?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Почему CRM не отображается в профиль риска?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Как проверить статус DocFlow?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Как настроить робо-советник?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Как настроить биржевые фонды?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Почему не загружается валютные инструменты?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Что делать, если не работает ДИС?","В CRM: «Аналитика → Робо-советник → Экспорт клиентов».","Аналитика","well_known_question"
"Почему валютные инструменты не отображается в ETF?","1. Нажмите «Новый клиент – Юрлицо». 2. Выберите «Открытие счёта». 3. Загрузите учредительные документы. 4. Система автоматически сформирует пакет на подпись через DocFlow.","Документы","well_known_question"
"Можно ли использовать Power BI без портфель?","1. Получите скан нового паспорта. 2. Загрузите в CRM через форму «Обновление KYC». 3. Запустите верификацию.","Compliance","well_known_question"
"Что делать, если не работает опционы?","В CRM → «Портфель клиента» → вкладка «ИИС». Баланс обновляется в реальном времени.","Аналитика","well_known_question"
"Что делать, если не работает налоговый вычет?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Почему не загружается ОФЗ?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Как проверить статус Confluence?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Как исправить проблему с SberOTP?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Почему ETF не отображается в ETF?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Можно ли использовать ИИС без CRM?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Как исправить проблему с ОФЗ?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Где найти информацию по валютные инструменты?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Почему Финмаркет не отображается в СЗР?","В SharePoint → СберИнвестиции → Шаблоны → VIP_Onboarding_2025.docx.","HR","well_known_question"
"Как исправить проблему с Power BI?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Как обновить профиль риска?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Почему в робо-советник ошибка?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Как настроить ОФЗ?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация","well_known_question"
"Почему в Power BI ошибка?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация","well_known_question"
"Как исправить проблему с KYC?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Как проверить статус дивиденды?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Почему в Торговец ошибка?","1. Откройте карточку клиента. 2. Нажмите «Профиль риска». 3. Запустите анкету повторной оценки. 4. Подтвердите результаты. Требуется согласие клиента.","Compliance","well_known_question"
"Как настроить СЗР?","1. Откройте карточку клиента. 2. Нажмите «Профиль риска». 3. Запустите анкету повторной оценки. 4. Подтвердите результаты. Требуется согласие клиента.","Compliance","well_known_question"
"Что делать, если не работает облигации?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Где найти информацию по биржевые фонды?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Почему не загружается профиль риска?","Все звонки фиксируются в **Системе записи разговоров (СЗР)**. Номер сессии можно найти в CRM → «История взаимодействий». Для отчёта укажите ID сессии и время.","Compliance","well_known_question"
"Как проверить статус СЗР?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Что делать, если не работает дивиденды?","1. Зайдите в «Финмаркет». 2. Профиль → «Настройки уведомлений». 3. Укажите корпоративный email.","Технические сервисы","well_known_question"
"Как настроить портфель?","Маржинальная торговля требует отдельного согласия клиента и прохождения теста. Проверьте статус в CRM → «Услуги клиента».","Торговля","well_known_question"
"Как проверить статус SberOTP?","1. Авторизуйтесь в боте **@Invest_Alert**. 2. Введите /subscribe. 3. Подтвердите роль «Invest_Advisor».","Технические сервисы","well_known_question"
"Как обновить Финмаркет?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Почему в DocFlow ошибка?","1. Авторизуйтесь в боте **@Invest_Alert**. 2. Введите /subscribe. 3. Подтвердите роль «Invest_Advisor».","Технические сервисы","well_known_question"
"Как настроить Финмаркет?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Как обновить SberOTP?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Почему Торговец не отображается в Confluence?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Можно ли использовать налоговый вычет без CRM?","Инструкции в **Confluence → СберИнвестиции → Инструменты → Инвест-аналитика**. Требуется роль «Invest_Analyst» или выше.","Документы","well_known_question"
"Как обновить SharePoint?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Как исправить проблему с портфель?","Предложение можно отменить, пока клиент не открыл его. В CRM: «Мои предложения» → «Отменить».","Документы","well_known_question"
"Как настроить деривативы?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Как обновить SharePoint?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Почему в опционы ошибка?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация","well_known_question"
"Можно ли использовать Confluence без маржинальная торговля?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Как исправить проблему с ДИС?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация","well_known_question"
"Почему не загружается акции?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Как обновить ОФЗ?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Что делать, если не работает ИИС?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Как проверить статус профиль риска?","Расписание — в **SberUniversity → События → Инвестиции**. Все вебинары записываются и доступны в течение 30 дней.","HR","well_known_question"
"Как исправить проблему с Финмаркет?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Как проверить статус KYC?","1. Получите скан нового паспорта. 2. Загрузите в CRM через форму «Обновление KYC». 3. Запустите верификацию.","Compliance","well_known_question"
